numSearches,avgCounts,maxCounts,maxDepth,avgMaxs,max,maxBoard,wins0,wins1,wins2,wins3,bestMove,board00,board01,board02,board03,board10,board11,board12,board13,board20,board21,board22,board23,board30,board31,board32,board33
200,134.16,285,6,120.16,256,4,0.28, 0.39, 0.33, 0,left,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
47,129.42,239,5,116.67,256,4,0.77, 0, 0.22, 0,right,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0
61,126.82,281,5,107.35,256,4,0, 0.08, 0.29, 0.63,down,0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2
69,133,283,4,116.57,256,8,0.36, 0.39, 0.11, 0.14,left,0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
51,120.04,219,5,101.02,256,8,0.21, 0.09, 0.36, 0.33,up,2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0
89,121.94,263,5,109.87,256,8,0.22, 0.11, 0.26, 0.41,down,2, 0, 2, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
84,132.55,253,5,118.96,256,8,0.5, 0.02, 0.2, 0.28,right,2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 2, 2, 0
52,130.51,261,4,122.57,256,8,0.28, 0.04, 0.3, 0.38,down,0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 8, 4
58,125.88,276,5,114.98,256,8,0.08, 0.27, 0.22, 0.43,down,0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4, 0, 0, 8, 4
72,117.58,240,5,103.89,256,8,0.19, 0.11, 0.51, 0.19,up,0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 8, 8
97,129.06,264,6,121.14,256,8,0.07, 0.21, 0.13, 0.59,down,2, 0, 4, 8, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0
62,122.27,198,5,107.17,256,16,0.58, 0.28, 0.14, 0,right,0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 2, 8, 8
83,119.55,241,5,116.95,256,16,0.13, 0.49, 0.35, 0.03,left,0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 4, 0, 0, 4, 16
91,123.13,248,5,114.09,256,16,0.12, 0.19, 0.34, 0.35,down,0, 2, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0, 4, 16, 0, 0
80,112.59,227,6,107.06,256,16,0.14, 0.41, 0.44, 0.01,up,0, 0, 0, 0, 0, 2, 0, 0, 4, 4, 2, 0, 4, 16, 0, 0
112,123.29,252,6,121.2,256,16,0.61, 0.1, 0.1, 0.19,right,8, 2, 2, 0, 0, 4, 0, 0, 2, 16, 0, 0, 0, 0, 0, 0
80,116.95,253,5,111.41,256,16,0.35, 0.02, 0.1, 0.54,down,0, 0, 8, 4, 0, 0, 0, 4, 2, 0, 2, 16, 0, 0, 0, 0
99,113.86,236,5,112,256,16,0.46, 0.35, 0.11, 0.08,right,0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8, 8, 2, 0, 2, 16
108,118.35,243,5,118.61,256,32,0, 0.04, 0.62, 0.34,up,0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 16, 0, 0, 4, 16
94,108.94,276,6,110.82,256,32,0.23, 0.12, 0.51, 0.14,up,0, 0, 4, 4, 0, 0, 0, 32, 0, 2, 0, 0, 0, 0, 0, 0
123,109.27,233,5,115.1,256,32,0.38, 0.32, 0.01, 0.29,right,0, 2, 4, 4, 2, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0
122,116.09,277,6,119.15,256,32,0.6, 0.13, 0.14, 0.13,right,0, 2, 2, 8, 0, 0, 2, 32, 0, 0, 0, 0, 0, 0, 0, 0
101,109.69,242,5,116.08,256,32,0.12, 0.24, 0.5, 0.13,up,0, 0, 4, 8, 0, 0, 2, 32, 0, 0, 0, 0, 0, 0, 2, 0
120,107.21,247,6,108.43,256,32,0.05, 0.04, 0.57, 0.34,up,0, 0, 4, 8, 2, 0, 4, 32, 0, 0, 0, 0, 0, 0, 0, 0
128,110.45,249,7,118.82,256,32,0.03, 0.46, 0.38, 0.13,left,2, 0, 8, 8, 2, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0
118,108.36,263,5,112.67,256,32,0.19, 0.26, 0.23, 0.31,down,2, 16, 0, 2, 2, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
124,103.06,219,6,110.59,256,32,0.34, 0.39, 0.07, 0.2,left,0, 0, 0, 0, 2, 0, 0, 0, 0, 16, 0, 0, 4, 32, 0, 2
140,103.13,238,5,110.07,256,32,0.25, 0.16, 0.24, 0.34,down,0, 0, 0, 0, 2, 2, 0, 0, 16, 0, 0, 0, 4, 32, 2, 0
140,100.85,224,6,106.67,256,32,0.24, 0.37, 0.31, 0.08,left,0, 0, 2, 0, 2, 0, 0, 0, 16, 2, 0, 0, 4, 32, 2, 0
147,101.66,256,6,113.08,256,32,0.15, 0.04, 0.5, 0.31,up,2, 0, 0, 0, 2, 2, 0, 0, 16, 2, 0, 0, 4, 32, 2, 0
145,102.46,224,6,120.55,256,32,0.14, 0.68, 0.13, 0.05,left,4, 4, 2, 0, 16, 32, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0
142,95.57,247,7,106.29,256,32,0.21, 0, 0, 0.79,down,8, 2, 0, 0, 16, 32, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0
163,106.67,227,6,122.73,256,32,0.33, 0.2, 0.31, 0.16,right,8, 0, 0, 0, 16, 2, 0, 2, 4, 32, 0, 0, 2, 2, 0, 0
129,105.7,248,6,122.58,256,32,0, 0.21, 0.38, 0.42,down,0, 0, 0, 8, 0, 2, 16, 4, 0, 0, 4, 32, 0, 0, 0, 4
132,101.11,241,7,116.93,256,32,0.13, 0.54, 0.18, 0.15,left,0, 0, 0, 8, 0, 0, 0, 4, 0, 2, 16, 32, 0, 2, 4, 4
146,98.31,235,6,121.25,256,32,0.07, 0, 0.77, 0.16,up,8, 2, 0, 0, 4, 0, 0, 0, 2, 16, 32, 0, 2, 8, 0, 0
